R,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
11,0.0102105821978,0.00613398584031,60.0747902662,0.68774181211,0,0,0.10224137931,0.00308162590765,0,0.0312451113013,0.0933700062626,0.00652989220253,0.00614004013251,0.0263624491917,0.0493080917775,0.00817761130528,0.00630554691819,0.0204124795216,0.0253465783943,0.00872818487807,0.0101885887806,0.0101885887806,0.0101885887806,0.0101885887806,863967935,7324286,370184271390,34.3813309776,3.09208491557
12,0.00849407184569,0.00568422410655,66.9198967211,0.671993392711,0,0,0.0858217168012,0.00251605932975,0,0.0282169089222,0.0867492208245,0.00550002206781,0.00433017735131,0.0238888192002,0.0450903165429,0.00690413522015,0.00539995134261,0.0177366764411,0.0220006482537,0.00735281996701,0.00849905248978,0.00849905248978,0.00849905248978,0.00849905248978,865280586,6011635,373425906690,34.9224440518,3.10079405212
13,0.00704300123872,0.00511709147014,72.6549846678,0.65615165597,0,0,0.063829787234,0.00204258441789,0,0.022514930661,0.0779933880394,0.00454877338999,0.00314925209248,0.0205696694232,0.0411735703361,0.00574345454531,0.00391827101544,0.0151950515319,0.0192314869151,0.00606279468319,0.0070321240211,0.0070321240211,0.0070321240211,0.0070321240211,866354995,4937226,373794598629,35.461590106,3.10671847994
14,0.00601073556303,0.00471379508971,78.4229324394,0.641656507355,0,0,0.0506632653061,0.00171833221875,0,0.0212088294418,0.0737110451291,0.00392019993561,0.00230659476513,0.0182204312069,0.0375578531571,0.00495300848521,0.00348019941356,0.0134727088855,0.016992804141,0.00522682476959,0.00601611908948,0.00601611908948,0.00601611908948,0.00601611908948,867213950,4078271,376534512729,35.9837396938,3.10943880085
15,0.00511413909043,0.00435581172868,85.1719449093,0.627147117325,0,0,0.0382075471698,0.00142596750205,0,0.0166841602201,0.0656651629594,0.00331087121769,0.00156117760181,0.0152633947189,0.0354113369113,0.00420824853139,0.00282930644933,0.0116759476846,0.0153197226666,0.00438994131178,0.00511427201534,0.00511427201534,0.00511427201534,0.00511427201534,867915127,3377094,376153949868,36.5061896349,3.11129227648
16,0.00436500914292,0.00393006284822,90.0356154944,0.613776169908,0,0,0.027027027027,0.00120229169593,0,0.0153757538271,0.061975265151,0.00285082878655,0.000837618161736,0.0137838217938,0.0317203624753,0.00363763347301,0.0026824060478,0.0104584434869,0.0134875260088,0.00381022797959,0.00437795383456,0.00437795383456,0.00437795383456,0.00437795383456,868478265,2813956,378399963168,37.0193404005,3.1121584319
17,0.00367486580546,0.00356708002582,97.0669465131,0.600360101147,0,0,0.00952570217276,0.000991585512384,0,0.0128411550951,0.0542033384901,0.00241118141521,0.000530708207115,0.0123470130443,0.0299141883086,0.00310154561692,0.00236604595198,0.00940056935021,0.0121149811605,0.00319089077851,0.00369871458252,0.00369871458252,0.00369871458252,0.00369871458252,868928199,2364022,377912684907,37.5380683157,3.11476301541
18,0.00316168229812,0.00322119648152,101.882358118,0.587980105211,0,0,0,0.000835030125832,0,0.010499092559,0.051584207305,0.00208083987283,0.000223798252493,0.0109102042947,0.0270510436991,0.00269078139642,0.00192896068234,0.00840647550196,0.0107246405272,0.00278916217078,0.00319071211671,0.00319071211671,0.00319071211671,0.00319071211671,869274970,2017251,379434296307,38.0469257951,3.11457582419
19,0.0026897894178,0.0029418373928,109.370546755,0.575623128115,0,0,0,0.000701141177968,0,0.0100747346824,0.0455711014466,0.00178989080442,0,0.0096288628106,0.025696413074,0.0023253079853,0.00177068990365,0.00761860659165,0.00974216699333,0.00236018614336,0.00272266490103,0.00272266490103,0.00272266490103,0.00272266490103,869548093,1744128,378755163546,38.5552532391,3.11323008623
20,0.00235356574058,0.00269055590996,114.318281558,0.564166951683,0,0,0,0.000599391785477,0,0.00771345219198,0.0426680420127,0.00156197676203,0,0.00844066956067,0.0234353265201,0.00203703618168,0.00147452830307,0.00681355226984,0.00872570453455,0.00207731883524,0.00238589922144,0.00238589922144,0.00238589922144,0.00238589922144,869815056,1477165,380461427946,39.0651177856,3.11556344425
