seats,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
52,0.203344540789,0.0358971471468,17.6533616331,0.429857559838,0,0.446153846154,0.614197994987,0.0626857514912,0.00697768762677,0.375329627715,0.445982005396,0.106909125194,0.13808155185,0.319840047484,0.344044398108,0.127899542674,0.187060279117,0.269355104217,0.273202699285,0.149750063261,0.196882348912,0.196882348912,0.196882348912,0.196882348912,704644017,166648204,31524039,1,0
54,0.188763050787,0.0343242740879,18.1837885882,0.420881320654,0,0.425584579735,0.603818710359,0.057175559424,0,0.361197556331,0.43445583022,0.0981812721619,0.121309516119,0.302624033341,0.327393067707,0.118089752226,0.170242510095,0.253062853363,0.256837508614,0.138347457698,0.182721066691,0.182721066691,0.182721066691,0.182721066691,716465475,154826746,31524039,1,0
56,0.175243319766,0.0328049835998,18.7196771001,0.412230780906,0,0.402597402597,0.586369382022,0.0522155162601,0,0.344359575565,0.421639888245,0.0902905807612,0.107934618596,0.28622742645,0.311905580303,0.109122153148,0.155087623598,0.237029939753,0.240768600133,0.127990415132,0.169615744652,0.169615744652,0.169615744652,0.169615744652,727730036,143562185,31524039,1,0
58,0.162614286557,0.0314582115826,19.3452938537,0.403866041557,0,0.378611369991,0.572272727273,0.0476224975274,0,0.329083177191,0.409866143323,0.0829604992786,0.0955423310789,0.271127027486,0.296932376066,0.100811758911,0.140357510648,0.222958909088,0.226283590105,0.118355512366,0.157378022329,0.157378022329,0.157378022329,0.157378022329,738426353,132865868,31524039,1,0
60,0.150132719873,0.0299706428813,19.9627655495,0.395757771818,0,0.355707762557,0.547944430475,0.0432881045836,0,0.310785799366,0.395240633753,0.0759107631208,0.08366511698,0.255246501363,0.280759386554,0.0927024740118,0.127004917795,0.207785861034,0.210875484218,0.108986777732,0.145282997329,0.145282997329,0.145282997329,0.145282997329,748553006,122739215,31524039,1,0
62,0.138535952339,0.0284879460325,20.5635761343,0.387833706433,0,0.327586206897,0.535909200676,0.0392917982319,0,0.293723741557,0.382413292691,0.0694469395173,0.0735261996845,0.240719982097,0.265473303783,0.0851999172372,0.114174479564,0.194104465527,0.196987782546,0.100257212345,0.134055572045,0.134055572045,0.134055572045,0.134055572045,758017263,113274958,31524039,1,0
64,0.127877071905,0.0271383066706,21.2221833565,0.380120862883,0,0.30303030303,0.51691017316,0.0357238638716,0,0.277714967959,0.367630714226,0.0635610810251,0.0642642226161,0.225915708084,0.252116221072,0.078360309393,0.102961623718,0.181373530848,0.18329017304,0.0923678746321,0.123741409621,0.123741409621,0.123741409621,0.123741409621,766908474,104383747,31524039,1,0
66,0.117766766944,0.0257435140654,21.85974425,0.372557097449,0,0.283825492159,0.5,0.0324091288594,0,0.265165084973,0.352543048051,0.0580599149535,0.0555078067207,0.211409608606,0.238103195602,0.0718988880274,0.0929158971499,0.168604815713,0.17047101088,0.0849090634162,0.113958081235,0.113958081235,0.113958081235,0.113958081235,775137295,96154926,31524039,1,0
68,0.108594349083,0.0245547468342,22.6114406887,0.365207331981,0,0.257697947214,0.488173567782,0.0294561529465,0,0.250872001813,0.339555354108,0.0531416425373,0.0473807450162,0.198279387577,0.225826408084,0.0660385097914,0.0834371441349,0.15745271922,0.158769520357,0.0781505256419,0.105082307815,0.105082307815,0.105082307815,0.105082307815,782871092,88421129,31524039,1,0
70,0.0996519790008,0.0232651231771,23.3463734593,0.358086836525,0,0.238759881423,0.466666666667,0.0266716859268,0,0.232188676614,0.328642719547,0.048405806999,0.0407417968037,0.185687579327,0.213266301381,0.0603937469429,0.0745449852507,0.1455997966,0.14659179434,0.0716722173667,0.0964291422179,0.0964291422179,0.0964291422179,0.0964291422179,790184038,81108183,31524039,1,0
72,0.0914056509172,0.0221011697773,24.1792160064,0.351158472269,0,0.209135772749,0.453434108527,0.0241015657254,0,0.222438419018,0.315700698772,0.0440572540775,0.0345951715333,0.173999521056,0.201391696785,0.0551660016493,0.066538103915,0.135166970227,0.13570629838,0.0655978105955,0.0884495079796,0.0884495079796,0.0884495079796,0.0884495079796,797035203,74257018,31524039,1,0
