k,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
17,0.0591399752256,0.0158671647502,26.8298467993,0.662248912402,0,0.4,1,0.0576561425577,0.0545764815389,0.163961038961,0.198492315739,0.0644929239109,0.0649950436162,0.141055652518,0.142987775455,0.0648585510952,0.0648389840107,0.126434700639,0.130697378499,0.064414867593,0.0586200598187,0.0586200598187,0.0586200598187,0.0586200598187,813661966,57630255,430631142429,36.5313663133,4.11891821727
18,0.0603963900195,0.0161633004729,26.7620307567,0.664035132324,0,0.409382284382,1,0.0585532318518,0.0553730471602,0.164090370955,0.193973472467,0.0655218226936,0.0653805053305,0.13935604493,0.145780941209,0.0659581605091,0.0660861422736,0.128891095884,0.133725272375,0.0655253564154,0.0598757962511,0.0598757962511,0.0598757962511,0.0598757962511,812365664,58926557,414237050268,36.3335630153,4.10909488129
19,0.0600719636642,0.0160232885303,26.6734888506,0.663575595259,0,0.4,1,0.0577068288876,0.0558914870296,0.16633510168,0.197330474404,0.0648192548198,0.0660774116348,0.138654041079,0.142568627064,0.0655181142397,0.0659046427279,0.127232715441,0.13162199228,0.0653524617943,0.059561862143,0.059561862143,0.059561862143,0.059561862143,812491870,58800351,399659118768,36.2704063604,4.09439679146
20,0.0615053382882,0.0163189517137,26.5325777695,0.664556045089,0,0.414003364172,1,0.0584713704723,0.0566742049065,0.165805316488,0.198027082942,0.0657770712145,0.067775417369,0.140042332453,0.146660723201,0.0665019351633,0.0685286184676,0.128523671202,0.134175215895,0.0664291802616,0.0608803853969,0.0608803853969,0.0608803853969,0.0608803853969,811902484,59389737,387623170407,36.1544640754,4.08094589877
21,0.0628030437091,0.0165543182148,26.3591017842,0.664396713787,0,0.409496753247,1,0.0582094249056,0.0578147381824,0.17157161235,0.197122437465,0.0669822158917,0.0673830095574,0.144100342891,0.152041501612,0.0676876335059,0.0691535759802,0.131398382026,0.136723080703,0.0677993496565,0.062193200758,0.062193200758,0.062193200758,0.062193200758,810063045,61229176,374362364007,36.0194464075,4.07048713315
22,0.0635934642836,0.0165946258346,26.0948605671,0.663350670617,0,0.396081349206,1,0.0567558735896,0.0572723349158,0.170819838057,0.200722912758,0.0671280370484,0.0670642324094,0.143534444064,0.15237213589,0.0677914511488,0.0690324789756,0.13127422342,0.137261941166,0.0683695647954,0.062963766296,0.062963766296,0.062963766296,0.062963766296,809436816,61855405,364800649707,35.9434628975,4.06222114836
23,0.0643779861971,0.0167440684608,26.0089969412,0.664251253894,0,0.4,1,0.0563478264128,0.058346992813,0.171660199648,0.193234002891,0.0673524143335,0.0672621291758,0.143163606541,0.155639540804,0.0680717182249,0.0701499780246,0.132496691072,0.138633819064,0.0686741144625,0.0636430055481,0.0636430055481,0.0636430055481,0.0636430055481,808697562,62594659,351614904168,35.8264958775,4.05438597537
24,0.0653394679408,0.0168689913568,25.8174605464,0.663617381786,0,0.396052631579,1,0.0559836872847,0.0582358026333,0.172133813307,0.197892630809,0.0677885270968,0.0684649751015,0.144781816894,0.155509860445,0.0686975000007,0.0712185102731,0.134132423168,0.140692305762,0.0696630118344,0.0646076394438,0.0646076394438,0.0646076394438,0.0646076394438,807448097,63844124,339231124407,35.7006890459,4.04283157763
25,0.0661062938713,0.016913851358,25.5858411771,0.662497611223,0,0.387261356155,1,0.05588163078,0.0588037084157,0.171822169059,0.19588820971,0.0682173848282,0.0686064153034,0.14621915345,0.156216443982,0.0691071881899,0.0707000485708,0.133708241852,0.140768524408,0.0702684809852,0.0653667891961,0.0653667891961,0.0653667891961,0.0653667891961,806663939,64628282,331175536368,35.6190694935,4.03003609294
26,0.0676104524273,0.0170925851728,25.2809803206,0.663147950389,0,0.4,0.9875,0.0571858303955,0.0585367401328,0.177376797431,0.199138003997,0.0699667591938,0.0720296491915,0.146937821728,0.156320165764,0.0708328967477,0.0736407549792,0.135298677255,0.142737424313,0.0718473431316,0.066867965022,0.066867965022,0.066867965022,0.066867965022,805301231,65990990,325399114368,35.499581861,4.02073226774
