percentile,window_size,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.92,288,0.0498436854834,0.0101449121733,20.3534551568,0.814227939409,0.0,0.307692307692,0.6,0.0518979469541,0.0594825312482,0.249404761905,0.355045454545,0.0808694469532,0.0535810544561,0.184718605149,0.223188225539,0.079082218283,0.0471111166206,0.122099321087,0.136618901135,0.066822036349,0.0529749537661,0.0529749537661,0.0529749537661,0.0529749537661,823260551.0,48031670.0,3.28614486834e+11,31.0193050648,3.38225359689
0.92,2016,0.0500855305846,0.0128847937065,25.7255809335,0.809322864024,0.0,0.267889087657,0.520265306122,0.0433967379047,0.0434174521131,0.245520818221,0.369572859745,0.0707067081186,0.0509743138019,0.191641652043,0.215679753724,0.0771004100465,0.0458423195437,0.136549804952,0.149300330172,0.0687033626024,0.0534430009818,0.0534430009818,0.0534430009818,0.0534430009818,825112970.0,46179251.0,3.34106404134e+11,30.7773910483,3.32630087438
0.93,12,0.0707367427594,0.0122846667191,17.3667407345,0.825517661535,0.0,0.6,1.0,0.107971491419,0.0814523689334,0.24062962963,0.333333333333,0.101355522327,0.086836835281,0.198673278823,0.263508844666,0.0963038094049,0.0765383636067,0.144544924214,0.147166384244,0.0847607833862,0.0719137423229,0.0719137423229,0.0719137423229,0.0719137423229,804191689.0,67100532.0,3.43374104973e+11,30.8374440518,3.44112682391
0.93,144,0.0687606913231,0.0115574634998,16.8082421474,0.816848947669,0.0,0.375,0.892222222222,0.0713165899269,0.0850150218242,0.253368822501,0.452271929825,0.106194641981,0.0735667143365,0.190014741965,0.282880965543,0.100559818993,0.0634977862277,0.143777874366,0.152993135066,0.0871813719527,0.0717082581794,0.0717082581794,0.0717082581794,0.0717082581794,804596269.0,66695952.0,3.21099106134e+11,30.3512603062,3.36544866913
0.93,288,0.0469474429305,0.00983728566974,20.953826355,0.811895300998,0.0,0.285714285714,0.571428571429,0.0484748813567,0.0543606742728,0.234013605442,0.355045454545,0.0762515444901,0.0514640786072,0.160702986302,0.223188225539,0.0746075810206,0.0451192778712,0.112561930802,0.125722659034,0.0626930213146,0.0497842416494,0.0497842416494,0.0497842416494,0.0497842416494,826109532.0,45182689.0,3.32398277934e+11,31.1655535925,3.3897196096
0.93,2016,0.0457972040347,0.0120546555044,26.3218154,0.804904195193,0.0,0.241748768473,0.5,0.0382107756232,0.0375334993152,0.217162393162,0.344545454545,0.0641825393573,0.0431251783095,0.167615683015,0.21149207044,0.0705089693212,0.042334606894,0.125393228004,0.137598709806,0.0630644539114,0.0489565971826,0.0489565971826,0.0489565971826,0.0489565971826,828621074.0,42671147.0,3.38723971434e+11,31.0247290931,3.33955562798
0.94,12,0.068619123459,0.0122258327805,17.8169468862,0.823659490753,0.0,0.581063122924,1.0,0.106089776631,0.0799239543726,0.24062962963,0.333333333333,0.0995201537369,0.0833092886258,0.191161450707,0.263508844666,0.0941526209635,0.0740588529832,0.143303760228,0.147849312072,0.0828450169899,0.0698474851024,0.0698474851024,0.0698474851024,0.0698474851024,805864054.0,65428167.0,3.45242514834e+11,30.9872850412,3.45323376662
0.94,144,0.0599834837492,0.0107988630186,18.0030607488,0.811744520062,0.0,0.333333333333,0.75,0.0633726134724,0.0723626170352,0.222706117021,0.391645851918,0.0941941705355,0.0640325363735,0.17594440525,0.258633222775,0.0893419925868,0.0563414425126,0.13189995815,0.136492351181,0.0768924432338,0.0626555400808,0.0626555400808,0.0626555400808,0.0626555400808,813316275.0,57975946.0,3.30994282434e+11,30.7836631331,3.3833888726
0.94,288,0.0430071373798,0.00942856203872,21.9232495189,0.807960423169,0.0,0.261186154496,0.56855500821,0.0442418067929,0.0488201636166,0.223848179026,0.355045454545,0.0702397053108,0.0471500698542,0.145524702352,0.223188225539,0.0685548274166,0.0402027773461,0.101854277552,0.11202414604,0.0570830839147,0.0454177036005,0.0454177036005,0.0454177036005,0.0454177036005,830264064.0,41028157.0,3.36610276134e+11,31.408262662,3.40888385225
0.94,2016,0.0412552350616,0.0112527377791,27.2759027121,0.800776324139,0.0,0.2,0.486956521739,0.0324858536037,0.0335654667418,0.18468013468,0.316388656439,0.0561417005214,0.0395264889087,0.154830083943,0.201022862228,0.0623317834459,0.0385556430886,0.111232583454,0.116789052806,0.0559961062141,0.0439222356675,0.0439222356675,0.0439222356675,0.0439222356675,833126621.0,38165600.0,3.43413032334e+11,31.3051648999,3.36996994011
