alpha,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.24,0.0496962189583,0.0136016827893,27.369653214,0.628354991344,0,0.297872340426,0.613888888889,0.0429282729563,0.0476924739091,0.139341978352,0.175544117647,0.0554178031849,0.0550191705583,0.120716526606,0.135149063557,0.0556903288777,0.0534363423216,0.110537686104,0.112814851033,0.0547509722469,0.0490250918971,0.0490250918971,0.0490250918971,0.0490250918971,823664550,47627671,1036586404590,39.2628209658,4.32431385657
0.25,0.0494248805521,0.0134572142024,27.2276109766,0.625510786521,0,0.298404255319,0.6,0.0430344869739,0.0479008180937,0.139276029255,0.176925599508,0.0552859629578,0.0544895027273,0.120771121542,0.13630794153,0.0555277484823,0.0529063864943,0.109624202788,0.11263215437,0.054621110405,0.0487910682892,0.0487910682892,0.0487910682892,0.0487910682892,823720130,47572091,1072471788390,39.4319787986,4.33338668346
0.26,0.0489470890108,0.0133499359374,27.2742183595,0.623186972649,0,0.298404255319,0.6,0.0428209298312,0.0485137535784,0.138949679979,0.179708741602,0.0549923910421,0.0549317017297,0.119125274757,0.132336607963,0.0551292062733,0.0534478948312,0.10817170154,0.110202330681,0.0541460449106,0.0483287289664,0.0483287289664,0.0483287289664,0.0483287289664,824433851,46858370,1107881697690,39.598745583,4.34615510709
0.27,0.0487819265027,0.0131832164259,27.0247966225,0.620349797882,0,0.3,0.625,0.0435886028876,0.0478357853777,0.140548652799,0.183649103894,0.0552158018533,0.0535325277105,0.12296492169,0.131502950956,0.0551449301951,0.0524772377993,0.107877972561,0.110999314261,0.0538548010217,0.0481289527158,0.0481289527158,0.0481289527158,0.0481289527158,824684324,46607897,1145432829690,39.7634923439,4.35910150517
0.28,0.0489116970448,0.0132270382814,27.0426893372,0.617858811961,0,0.307975113122,0.621634615385,0.044072950695,0.0486136287345,0.142021674141,0.190602209945,0.0559072109069,0.0539374722603,0.119299522558,0.133117593005,0.0558886304874,0.0536437620332,0.10742065402,0.110586952037,0.054206285153,0.0483116052878,0.0483116052878,0.0483116052878,0.0483116052878,824774155,46518066,1178545084290,39.9261189635,4.37215551897
0.29,0.0486285613166,0.0131063518784,26.9519630513,0.615381282822,0,0.311111111111,0.620114942529,0.0439379930638,0.0491168893546,0.136785829858,0.188146341463,0.0558366417749,0.0537701657593,0.116762000581,0.134732235053,0.0558569822254,0.0536207737831,0.106909126621,0.110805545073,0.0541300311868,0.0480775816799,0.0480775816799,0.0480775816799,0.0480775816799,825005243,46286978,1209881793690,40.0963957597,4.38557719521
0.3,0.0487288385536,0.0132097353301,27.1086603379,0.612596242471,0,0.321428571429,0.625,0.0452928171681,0.0477377391635,0.144196153846,0.188146341463,0.0568209128648,0.0532155545204,0.118244027937,0.134407014087,0.0563325117283,0.0535977271485,0.107495240032,0.111029733927,0.0541984762428,0.0481689079659,0.0481689079659,0.0481689079659,0.0481689079659,824609344,46682877,1246385787130,40.2585689046,4.39702040005
0.31,0.0483336282664,0.0131144096326,27.1330957409,0.610434208046,0,0.326461769115,0.625,0.0456548857731,0.0479787080996,0.146661082644,0.200402173913,0.0570771324942,0.0531153242819,0.119480277271,0.135852177455,0.0565088736702,0.0540442338,0.106503518625,0.110938355817,0.0538994671866,0.0477693554647,0.0477693554647,0.0477693554647,0.0477693554647,825248483,46043738,1278795970330,40.4170671378,4.40964764271
0.32,0.047726066183,0.0129429085698,27.1191606704,0.607985522931,0,0.323016564952,0.632386363636,0.0453824648948,0.0485137535784,0.145146511628,0.202582218506,0.0568343089969,0.0523723822314,0.117450434067,0.13573533014,0.0560742336903,0.0527884549434,0.105608104928,0.110545340734,0.0531742349229,0.0471871503916,0.0471871503916,0.0471871503916,0.0471871503916,825846105,45446116,1311217239730,40.592385159,4.42238701049
0.33,0.0473308558957,0.0128052110352,27.0546787986,0.605567475808,0,0.333333333333,0.625,0.0451540669966,0.0471393564555,0.144250752304,0.202582218506,0.056201838832,0.0511302803193,0.11580056099,0.133829765254,0.0553838030238,0.0526386810106,0.104120618208,0.109178181671,0.052662068509,0.0467533505331,0.0467533505331,0.0467533505331,0.0467533505331,826140135,45152086,1342325857330,40.7595288575,4.43683746068
